附件1,,,,,,,,,,,,,,,
广东省县级以上机关2025年考试录用公务员职位表（不含公安、法检、监狱、戒毒系统）,,,,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,职位类型,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否要求2年以上基层工作经历,是否限应届毕业生报考,其他要求,考区
中共广东省委办公厅,1990002,机关一级主任科员以下,19900022541001 ,从事机关文秘工作,综合管理类职位,1,本科以上,学士以上,"哲学(A01),经济学(A02),法学(A0301),政治学(A0302),社会学(A0303),马克思主义理论(A0305),中国语言文学(A0501),新闻传播学(A0503),历史学(A06),工商管理(A1202),公共管理(A1204)","哲学(B01),经济学(B02),法学类(B0301),政治学类(B0302),社会学类(B0303),马克思主义理论类(B0305),中国语言文学类(B0501),新闻传播学类(B0503),历史学(B06),工商管理类(B1202),公共管理类(B1204)",,是,否,中共党员,广州
中共广东省委老干部局,1990007,广东省老干部大学（广东省省属离休干部服务管理中心）综合岗一级主任科员以下,19900072541001 ,从事教育教学教研等相关工作,综合管理类职位,1,研究生,硕士以上,"哲学(A01),政治学(A0302),社会学(A0303),马克思主义理论(A0305),教育学(A0401),心理学(A0402),中国语言文学(A0501),新闻传播学(A0503),历史学(A06)",,,否,否,中共党员,广州
中共广东省委宣传部,1990008,机关一级主任科员以下,19900082541001 ,从事宣传工作,综合管理类职位,1,本科以上,学士以上,"经济学(A02),法学(A0301),社会学(A0303),历史学(A06),管理科学与工程(A120101)","经济学(B02),法学类(B0301),社会学类(B0303),历史学(B06),管理科学(B120101)",,是,否,中共党员;需开展心理素质测评,广州
中共广东省委宣传部,1990008,机关一级主任科员以下,19900082541002 ,从事宣传工作,综合管理类职位,1,本科以上,学士以上,经济学(A02),经济学(B02),,是,否,中共党员;需开展心理素质测评,广州
中共广东省委宣传部,1990008,机关一级主任科员以下,19900082541003 ,从事宣传工作,综合管理类职位,1,研究生,硕士以上,"哲学(A01),经济学(A02),法学(A0301),政治学(A0302),社会学(A0303),马克思主义理论(A0305),文学(A05),历史学(A06)",,,是,否,中共党员;需开展心理素质测评,广州
中共广东省委统一战线工作部,1990009,机关二级主任科员以下,19900092541001 ,从事机关工作,综合管理类职位,3,研究生,硕士,"11信息电子类, 14能源和动力类, 16新材料类",,,是,否,中共党员,广州
中共广东省委政法委员会,1990010,机关内设处室四级主任科员,19900102541001 ,从事法治广东建设工作,综合管理类职位,1,研究生,硕士,法学(A0301),,,是,否,中共党员;需开展心理素质测评,广州
中国人民政治协商会议广东省委员会办公厅,1990016,研究室一级主任科员以下,19900162541001 ,从事起草省政协有关会议和政协工作的重要文稿等工作,综合管理类职位,1,本科以上,学士以上,03经济金融类,03经济金融类,,是,否,,广州
广东省总工会,1990025,广东省教科文卫工会二级主任科员以下,19900252541001 ,从事档案管理相关工作,综合管理类职位,1,研究生,硕士以上,"图书馆学(A120501),档案学(A120503)",,,是,否,中共党员,广州
广东省总工会,1990025,广东省教科文卫工会二级主任科员以下,19900252541002 ,从事文字综合等文秘工作,综合管理类职位,1,研究生,硕士以上,"哲学(A01),理论经济学(A0201),法学(A0301),政治学(A0302),社会学(A0303),马克思主义理论(A0305),教育学(A0401),中国语言文学(A0501),新闻传播学(A0503),历史学(A06),公共管理(A1204)",,,是,否,,广州
广东省总工会,1990025,广东省海员工会二级主任科员以下,19900252541003 ,从事文字综合等文秘工作,综合管理类职位,1,研究生,硕士以上,"哲学(A01),理论经济学(A0201),法学(A0301),政治学(A0302),社会学(A0303),马克思主义理论(A0305),教育学(A0401),中国语言文学(A0501),新闻传播学(A0503),历史学(A06),公共管理(A1204)",,,是,否,,广州
广东省总工会,1990025,广东省财贸工会二级主任科员以下,19900252541004 ,从事财务会计类工作,综合管理类职位,1,本科以上,学士以上,"会计学(A120201),会计硕士（专业硕士）(A120206)","会计学(B120203),财务管理(B120204),审计学(B120207)",,是,否,,广州
广东省总工会,1990025,广东省民营企业工会联合会二级主任科员以下,19900252541005 ,从事文字综合等文秘工作,综合管理类职位,1,研究生,硕士以上,"哲学(A01),理论经济学(A0201),法学(A0301),政治学(A0302),社会学(A0303),马克思主义理论(A0305),教育学(A0401),中国语言文学(A0501),新闻传播学(A0503),历史学(A06),公共管理(A1204)",,,是,否,,广州
广东省总工会,1990025,广东省民营企业工会联合会二级主任科员以下,19900252541006 ,从事集体协商工作,综合管理类职位,1,研究生,硕士以上,"法学(A0301),社会学(A0303),公共管理(A1204)",,,是,否,,广州
广东省总工会,1990025,广东省民营企业工会联合会二级主任科员以下,19900252541007 ,从事财务会计类工作,综合管理类职位,1,本科以上,学士以上,"会计学(A120201),会计硕士（专业硕士）(A120206)","会计学(B120203),财务管理(B120204),审计学(B120207)",,是,否,,广州
